35	[-23.120695114135742, -78.98231506347656, -80.06732177734375, -81.23855590820312, -83.47041320800781, -84.97346496582031, -85.27540588378906, -85.49816131591797, -85.75241088867188, -86.1916732788086, -86.31189727783203, -86.59809112548828, -87.15916442871094, -87.44561004638672, -87.5531005859375, -87.63042449951172]
36	[-29.06136703491211, -54.61695861816406, -56.39619064331055, -56.51936340332031, -56.744625091552734, -57.24981689453125, -58.329559326171875, -58.50897979736328, -59.136802673339844, -59.37378692626953, -59.9754638671875, -60.162784576416016, -60.238197326660156, -60.32440948486328, -60.925994873046875, -60.94607162475586]
37	[-28.59324836730957, -49.733882904052734, -49.98035430908203, -50.792564392089844, -51.8221549987793, -53.1861686706543, -53.199275970458984, -53.40959167480469, -53.57138442993164, -53.61268615722656, -53.87157440185547, -54.037105560302734, -54.1481819152832, -54.28703689575195, -54.4420280456543, -54.47257614135742]
38	[-16.323314666748047, -32.49415588378906, -32.49705505371094, -32.51032257080078, -33.19833755493164, -33.4058952331543, -33.514320373535156, -33.541446685791016, -33.732784271240234, -33.79261016845703, -33.85441970825195, -33.998077392578125, -34.14263153076172, -34.17813491821289, -34.1854248046875, -34.27864074707031]
39	[-14.097392082214355, -32.437744140625, -35.101497650146484, -35.3341178894043, -35.76573181152344, -36.5504035949707, -36.77544403076172, -37.19739532470703, -37.71094512939453, -38.34039306640625, -38.82563018798828, -39.041080474853516, -39.54003143310547, -39.80188751220703, -39.90129089355469, -40.16482162475586]
40	[-7.413449764251709, -36.36227035522461, -36.625709533691406, -37.47309112548828, -37.6982307434082, -37.712493896484375, -37.84539794921875, -38.010929107666016, -38.10460662841797, -38.64073181152344, -38.690120697021484, -38.95155715942383, -38.999454498291016, -39.14888381958008, -39.33137512207031, -39.36737823486328]
41	[-15.839109420776367, -43.27830505371094, -46.048728942871094, -46.122344970703125, -46.15442657470703, -46.62751388549805, -46.988624572753906, -47.02637481689453, -47.190032958984375, -47.547306060791016, -47.58599090576172, -47.72929763793945, -47.742523193359375, -47.745323181152344, -48.046695709228516, -48.07942199707031]
42	[-16.63990020751953, -35.637939453125, -36.261810302734375, -36.45335006713867, -38.03513717651367, -38.12505340576172, -38.21609878540039, -38.36363220214844, -38.393089294433594, -38.7166862487793, -38.71989440917969, -38.759765625, -38.835044860839844, -38.87451171875, -38.900508880615234, -38.913368225097656]
43	[-16.843589782714844, -40.57925033569336, -43.23923110961914, -43.814632415771484, -44.39297866821289, -44.68574905395508, -44.92071533203125, -45.47256088256836, -45.88291549682617, -46.13209533691406, -46.45745086669922, -46.62737274169922, -46.660709381103516, -46.69814682006836, -46.798072814941406, -47.189369201660156]
44	[-11.064538955688477, -30.933427810668945, -33.10895919799805, -33.438201904296875, -34.29955291748047, -34.41877365112305, -34.86232376098633, -35.153499603271484, -35.18149185180664, -35.243900299072266, -35.70948791503906, -35.8746337890625, -35.9344596862793, -36.03207778930664, -36.10371780395508, -36.34199905395508]
45	[-15.735041618347168, -36.474342346191406, -36.56045150756836, -40.617279052734375, -40.78252029418945, -40.88954544067383, -40.92036819458008, -41.83380889892578, -41.8491325378418, -41.86204528808594, -41.898162841796875, -41.95098114013672, -42.01504898071289, -42.06610870361328, -42.20443344116211, -42.702842712402344]
46	[-15.690821647644043, -51.71542739868164, -53.88890075683594, -54.53743362426758, -54.62281036376953, -54.78034591674805, -54.89676284790039, -54.94450759887695, -55.46717071533203, -56.09410095214844, -56.319393157958984, -56.58261489868164, -56.95718765258789, -57.449317932128906, -57.58080291748047, -57.65971755981445]
47	[-12.384273529052734, -46.995018005371094, -49.993526458740234, -50.10573196411133, -50.37038040161133, -50.91040802001953, -51.59294128417969, -52.09441375732422, -52.27954864501953, -52.33892822265625, -52.35661697387695, -52.364219665527344, -52.41299819946289, -52.45048141479492, -52.654537200927734, -52.812416076660156]
48	[-18.967382431030273, -51.90058517456055, -53.90656280517578, -55.8730583190918, -55.996131896972656, -56.79907989501953, -57.16797637939453, -57.22859573364258, -57.78547668457031, -57.98697280883789, -58.32398223876953, -58.49513244628906, -58.54391098022461, -59.37849044799805, -59.52650451660156, -59.71563720703125]
49	[-10.463088989257812, -30.704862594604492, -32.575862884521484, -32.930076599121094, -34.447181701660156, -34.54830551147461, -34.59795379638672, -35.13010787963867, -35.383392333984375, -35.455196380615234, -35.4639892578125, -35.648101806640625, -35.79060363769531, -35.90784454345703, -36.14809799194336, -36.291263580322266]
50	[-17.326404571533203, -41.74559020996094, -42.14268493652344, -42.38167953491211, -43.59018325805664, -43.896583557128906, -44.03687286376953, -44.36690139770508, -44.616207122802734, -44.689544677734375, -45.092254638671875, -45.55368423461914, -45.78147506713867, -46.05677032470703, -46.487911224365234, -46.52750015258789]
51	[-24.488426208496094, -51.196754455566406, -54.26223373413086, -56.70598220825195, -57.45982360839844, -60.034976959228516, -60.24406433105469, -60.83986282348633, -60.997215270996094, -62.07342529296875, -62.18785095214844, -62.22693634033203, -62.45765686035156, -62.59013366699219, -62.597442626953125, -62.71428680419922]
52	[-23.204824447631836, -61.97476577758789, -62.070377349853516, -63.86277389526367, -65.64404296875, -66.9383773803711, -67.0761489868164, -67.20172119140625, -67.99040222167969, -68.16060638427734, -68.1958999633789, -68.22700500488281, -68.59153747558594, -68.8316879272461, -68.955810546875, -69.86135864257812]
53	[-16.453128814697266, -50.06175994873047, -53.881256103515625, -55.51766586303711, -55.55868148803711, -56.330772399902344, -56.80524826049805, -56.868560791015625, -57.38445281982422, -57.80070877075195, -58.59035873413086, -58.778892517089844, -58.886314392089844, -59.17082977294922, -59.311954498291016, -59.36784362792969]
54	[-35.52722930908203, -68.84588623046875, -74.63605499267578, -77.67977905273438, -78.97652435302734, -79.99110412597656, -84.25868225097656, -84.2933578491211, -84.61870574951172, -86.30422973632812, -86.9593734741211, -87.23236846923828, -87.58860778808594, -87.95536041259766, -88.1509780883789, -88.52555847167969]
55	[-36.35694122314453, -82.4866943359375, -84.3937759399414, -84.96844482421875, -87.66488647460938, -90.65972900390625, -90.68411254882812, -91.0468521118164, -91.36648559570312, -92.69707489013672, -93.40106964111328, -93.58728790283203, -93.97186279296875, -93.98747253417969, -93.99862670898438, -94.09544372558594]
56	[-27.301063537597656, -67.54962921142578, -75.39018249511719, -79.32074737548828, -81.94105529785156, -82.4028549194336, -85.58361053466797, -85.58942413330078, -87.61961364746094, -87.73345947265625, -88.36972045898438, -88.94950103759766, -89.26306915283203, -89.45443725585938, -89.57886505126953, -89.79443359375]
57	[-39.19767761230469, -104.77779388427734, -112.1854248046875, -116.36396789550781, -120.40571594238281, -120.61798858642578, -121.75572204589844, -124.41631317138672, -125.97600555419922, -126.08329010009766, -126.66734313964844, -126.69612884521484, -127.05831146240234, -127.246826171875, -127.25698852539062, -127.35034942626953]
58	[-29.812450408935547, -58.926971435546875, -60.245201110839844, -60.40933609008789, -61.483428955078125, -62.804847717285156, -63.59916687011719, -63.698707580566406, -65.22704315185547, -65.46424865722656, -66.20613098144531, -66.87727355957031, -67.85966491699219, -67.90128326416016, -67.92689514160156, -68.18364715576172]
59	[-31.220874786376953, -87.78892517089844, -89.6862564086914, -90.68244934082031, -90.87618255615234, -91.36085510253906, -91.76922607421875, -93.41542053222656, -93.80799865722656, -94.02783203125, -95.04635620117188, -95.4898681640625, -95.55152893066406, -95.6204605102539, -95.72449493408203, -95.7311782836914]
60	[-26.019922256469727, -89.4404296875, -91.8458480834961, -94.34292602539062, -96.84559631347656, -97.11177062988281, -97.1883773803711, -97.41095733642578, -97.91256713867188, -98.00363159179688, -98.05207061767578, -98.11273193359375, -99.11626434326172, -99.65489196777344, -99.72613525390625, -99.96611022949219]
61	[-27.719392776489258, -81.93389129638672, -93.0345687866211, -93.17665100097656, -97.55230712890625, -98.499755859375, -101.22488403320312, -101.26764678955078, -104.1268081665039, -104.36858367919922, -104.68806457519531, -105.5649185180664, -105.91331481933594, -106.01091003417969, -106.10333251953125, -106.62372589111328]
