seal_name,seal_path,seal_interpretation,processed_name,processed_path,image_name,image_path,front_page,type,property
66(19)_0.jpg,@/assets/data/Seals/66(19)_0.jpg,乾隆秀才嘉慶舉人道光進士咸豐老漁,66-17-乾隆秀才嘉慶舉人道光進士咸豐老漁.jpg,@/assets/data/Processed/66-17-乾隆秀才嘉慶舉人道光進士咸豐老漁.jpg,66(19).jpg,@/assets/data/Images/66(19).jpg,66(1).jpg,zhuwen,collection
66(2)_0.jpg,@/assets/data/Seals/66(2)_0.jpg,贊之十世孫阿長,66-09-贊之十世孫阿長.jpg,@/assets/data/Processed/66-09-贊之十世孫阿長.jpg,66(2).jpg,@/assets/data/Images/66(2).jpg,66(1).jpg,zhuwen,collection
66(20)_0.jpg,@/assets/data/Seals/66(20)_0.jpg,樹鈞,66-01-樹鈞.jpg,@/assets/data/Processed/66-01-樹鈞.jpg,66(20).jpg,@/assets/data/Images/66(20).jpg,66(1).jpg,baiwen,collection
66(20)_1.jpg,@/assets/data/Seals/66(20)_1.jpg,少唐審定,66-12-少唐審定.jpg,@/assets/data/Processed/66-12-少唐審定.jpg,66(20).jpg,@/assets/data/Images/66(20).jpg,66(1).jpg,zhuwen,collection
66(21)_0.jpg,@/assets/data/Seals/66(21)_0.jpg,笛江,66-11-笛江.jpg,@/assets/data/Processed/66-11-笛江.jpg,66(21).jpg,@/assets/data/Images/66(21).jpg,66(1).jpg,zhuwen,collection
66(22)_0.jpg,@/assets/data/Seals/66(22)_0.jpg,瞎尊者,66-04-瞎尊者.jpg,@/assets/data/Processed/66-04-瞎尊者.jpg,66(22).jpg,@/assets/data/Images/66(22).jpg,66(1).jpg,zhuwen,personal
66(23)_0.jpg,@/assets/data/Seals/66(23)_0.jpg,頭白依然不識字,66-08-頭白依然不識字.jpg,@/assets/data/Processed/66-08-頭白依然不識字.jpg,66(23).jpg,@/assets/data/Images/66(23).jpg,66(1).jpg,baiwen,personal
66(23)_1.jpg,@/assets/data/Seals/66(23)_1.jpg,半个漢,66-07-半个漢.jpg,@/assets/data/Processed/66-07-半个漢.jpg,66(23).jpg,@/assets/data/Images/66(23).jpg,66(1).jpg,zhuwen,collection
66(23)_2.jpg,@/assets/data/Seals/66(23)_2.jpg,原濟,66-05-原濟.jpg,@/assets/data/Processed/66-05-原濟.jpg,66(23).jpg,@/assets/data/Images/66(23).jpg,66(1).jpg,baiwen,personal
66(24)_0.jpg,@/assets/data/Seals/66(24)_0.jpg,少唐心賞,66-16-少唐心賞.jpg,@/assets/data/Processed/66-16-少唐心賞.jpg,66(24).jpg,@/assets/data/Images/66(24).jpg,66(1).jpg,baiwen,collection
66(24)_1.jpg,@/assets/data/Seals/66(24)_1.jpg,樹鈞,66-01-樹鈞.jpg,@/assets/data/Processed/66-01-樹鈞.jpg,66(24).jpg,@/assets/data/Images/66(24).jpg,66(1).jpg,baiwen,collection
66(25)_0.jpg,@/assets/data/Seals/66(25)_0.jpg,无所住齋,66-23-无所住齋.jpg,@/assets/data/Processed/66-23-无所住齋.jpg,66(25).jpg,@/assets/data/Images/66(25).jpg,66(1).jpg,zhuwen,collection
66(25)_1.jpg,@/assets/data/Seals/66(25)_1.jpg,陳其錕印,66-22-陳其錕印.jpg,@/assets/data/Processed/66-22-陳其錕印.jpg,66(25).jpg,@/assets/data/Images/66(25).jpg,66(1).jpg,baiwen,collection
