14	[-2.213585376739502, -24.044191360473633, -24.215913772583008, -24.875377655029297, -26.261028289794922, -26.292537689208984, -26.534231185913086, -26.907670974731445, -27.53226089477539, -27.869760513305664, -28.114089965820312, -28.636493682861328, -28.81106948852539, -28.88585662841797, -29.033451080322266, -29.192119598388672]
15	[-0.2822611629962921, -26.399383544921875, -26.484500885009766, -28.030057907104492, -28.51214027404785, -28.74449920654297, -28.757492065429688, -28.822734832763672, -29.018789291381836, -29.03976058959961, -29.111377716064453, -29.340465545654297, -29.34355926513672, -29.439895629882812, -29.563106536865234, -30.03282356262207]
16	[-0.9445164203643799, -29.16886329650879, -29.520526885986328, -33.639373779296875, -33.66413116455078, -34.46403884887695, -34.647552490234375, -34.75345993041992, -35.86379623413086, -35.87295913696289, -36.11081314086914, -36.60573959350586, -36.8095588684082, -36.82429885864258, -37.018211364746094, -37.091068267822266]
17	[-2.8451061248779297, -24.88869857788086, -29.358701705932617, -31.34062385559082, -31.46242332458496, -33.74599838256836, -34.30849838256836, -34.52700424194336, -35.09210968017578, -35.7186164855957, -35.731292724609375, -35.82037353515625, -36.11167907714844, -36.31004333496094, -36.45361328125, -36.533226013183594]
18	[1.4627809524536133, -18.871822357177734, -20.55647087097168, -22.267499923706055, -22.60527992248535, -24.01886749267578, -24.939144134521484, -25.125932693481445, -25.16573715209961, -25.176204681396484, -25.789609909057617, -25.937253952026367, -26.399641036987305, -26.575319290161133, -26.858842849731445, -27.126239776611328]
19	[5.13040828704834, -16.93951988220215, -22.17451286315918, -22.23978614807129, -22.376785278320312, -22.686017990112305, -22.78108787536621, -23.005571365356445, -23.378202438354492, -23.385509490966797, -25.23650360107422, -25.407573699951172, -25.89604949951172, -26.253929138183594, -26.452341079711914, -26.522579193115234]
20	[2.152851104736328, -24.177570343017578, -26.52686882019043, -26.665510177612305, -26.696125030517578, -26.951866149902344, -27.075780868530273, -27.463064193725586, -27.5064754486084, -27.748516082763672, -28.382251739501953, -28.558378219604492, -28.775693893432617, -29.123920440673828, -29.28611946105957, -29.482086181640625]
21	[2.241328716278076, -13.67381763458252, -14.181363105773926, -14.462689399719238, -16.353097915649414, -17.51782989501953, -18.14605140686035, -18.749271392822266, -19.167510986328125, -19.525312423706055, -19.5953426361084, -19.905899047851562, -20.28497886657715, -20.4951171875, -20.497028350830078, -20.51228141784668]
22	[1.0254660844802856, -20.648794174194336, -20.925382614135742, -23.879919052124023, -24.317956924438477, -24.644901275634766, -25.60668182373047, -25.702255249023438, -26.05916976928711, -26.684310913085938, -27.037160873413086, -27.047992706298828, -27.362625122070312, -27.390153884887695, -28.197826385498047, -28.317489624023438]
23	[-0.46369433403015137, -16.016958236694336, -16.711355209350586, -16.83087730407715, -17.212175369262695, -17.49787712097168, -18.28118133544922, -18.338472366333008, -18.572185516357422, -18.599567413330078, -18.722854614257812, -18.805892944335938, -18.886505126953125, -19.05422592163086, -19.208877563476562, -19.2398681640625]
24	[-0.1949242651462555, -21.68790626525879, -22.57616424560547, -22.641109466552734, -23.992691040039062, -24.029186248779297, -24.087594985961914, -24.235187530517578, -24.26360511779785, -24.32361602783203, -24.373794555664062, -24.417009353637695, -24.518569946289062, -24.996187210083008, -25.012130737304688, -25.10288429260254]
25	[-7.465134620666504, -11.173067092895508, -12.50726318359375, -13.628633499145508, -14.338075637817383, -14.718023300170898, -14.92835521697998, -15.338294982910156, -15.426536560058594, -15.502037048339844, -15.767304420471191, -16.059085845947266, -16.066728591918945, -16.254926681518555, -16.256898880004883, -16.40753746032715]
26	[5.158686637878418, -21.320106506347656, -24.13168716430664, -27.98999786376953, -28.13921356201172, -28.294151306152344, -29.393821716308594, -30.0580997467041, -30.060239791870117, -30.553930282592773, -30.557842254638672, -30.801355361938477, -31.79355239868164, -31.86629295349121, -31.898399353027344, -32.03949737548828]
27	[0.9297561645507812, -14.859142303466797, -16.28834342956543, -16.790855407714844, -17.10108184814453, -17.203784942626953, -17.259254455566406, -17.318681716918945, -17.371973037719727, -17.781517028808594, -17.907249450683594, -17.97577476501465, -18.09347152709961, -18.377370834350586, -18.44976234436035, -18.61590576171875]
28	[2.0930135250091553, -18.014673233032227, -18.151302337646484, -19.419458389282227, -20.119264602661133, -20.162918090820312, -20.583229064941406, -20.683677673339844, -21.75135040283203, -22.252782821655273, -22.748014450073242, -22.77092170715332, -22.788686752319336, -22.790861129760742, -22.816007614135742, -22.92618751525879]
